Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
S00.01.01 Check home page,1,1410,1410,1410,1410,1410,1410,1410,0.000%,.70922,319.22,0.81
S00.01 Check home page,1,1410,1410,1410,1410,1410,1410,1410,0.000%,.70822,318.77,0.81
S00.02.01 Check auth page,1,27,27,27,27,27,27,27,0.000%,37.03704,46.48,15.15
S00.02 Check auth page,1,27,27,27,27,27,27,27,0.000%,35.71429,44.82,14.61
S00.03.01 Login,436,1161,958,1367,1575,2703,218,50111,0.688%,.89691,139.95,1.08
S00.03.02 Get Notification Number,1,47,47,47,47,47,47,47,0.000%,21.27660,4.72,15.96
S00.03.03 Get Number New Messages,1,29,29,29,29,29,29,29,0.000%,34.48276,7.44,26.17
S00.03.04 Get All Custom Domain List,1,27,27,27,27,27,27,27,0.000%,37.03704,8.14,29.48
S00.03.05 Get Category List,1,42,42,42,42,42,42,42,0.000%,23.80952,70.73,18.11
S00.03 Login,1,1052,1052,1052,1052,1052,1052,1052,0.000%,.94877,167.84,4.05
Login Controller,1,2489,2489,2489,2489,2489,2489,2489,0.000%,.40096,251.91,2.33
S01.01 Search Post Ntech,1851,72,32,56,98,317,25,50026,0.054%,3.82178,0.89,1.38
S02.01 Create Draft,437,57,36,70,128,233,24,2001,0.229%,.90165,4.52,0.73
S02.02 Save Draft,436,54,39,72,98,380,30,1202,0.000%,.90147,4.77,0.95
S04.01 Up Vote In Post,1500,102,66,143,242,792,39,2861,0.000%,9.67586,3.78,8.57
Up Vote Post Controller,1500,102,66,143,242,792,39,2861,0.000%,9.67580,3.78,8.57
S05.01 Down Vote In Post,1500,92,64,135,219,597,38,1748,0.000%,10.70587,4.19,9.48
Down Vote Post Controller,2433,255,96,564,652,965,38,3972,0.082%,5.02013,1.64,4.46
S01.02 Search Tag Ntech,1851,132,107,202,262,566,71,835,0.000%,3.82191,313.87,1.37
S02.03 Create Post,436,98,75,163,211,513,46,783,0.000%,.90144,4.88,0.99
S01.02 Search User Ntech,1851,53,35,66,115,454,27,5393,0.054%,3.82123,1.61,1.38
Search Controller,1851,259,186,333,508,754,129,50336,0.108%,3.81909,316.14,4.12
S02.04 Delete Draft,436,46,36,68,102,204,28,488,0.000%,.90153,4.62,0.80
S06.01 Up Vote Comment Controller,924,523,483,687,793,1293,292,3875,0.216%,1.90656,0.43,1.70
Up Vote Comment Controller,924,523,483,687,793,1293,292,3875,0.216%,1.90656,0.43,1.70
S07.01 Down Vote In Comment,933,518,479,665,797,1270,269,3972,0.214%,1.92511,0.43,1.71
S02.05 Get Post After Post,436,235,213,320,414,720,124,947,0.000%,.90096,5.68,0.70
S02.06 Get Comment In Post,436,44,34,54,75,343,27,605,0.000%,.90183,0.24,0.70
S02.07 Get Emoji In Post,436,23,23,25,26,29,22,35,0.000%,.90187,2.79,0.30
S02.08 Get Random Post,436,217,177,343,549,843,79,1142,0.000%,.90161,13.74,0.31
Create Post Controller,436,779,700,1117,1285,1648,422,2536,0.000%,.89995,41.17,5.48
S09.01 Follow TopUser 40651,200,49,36,63,85,418,28,530,0.000%,.84088,3.00,0.71
S00.00 Unfollow TopUser 40651,200,45,32,57,92,205,26,696,0.000%,.84088,2.92,0.71
Login To Follow User,200,1192,1084,1569,1865,2787,531,3572,0.500%,.83665,135.98,2.42
S02.09 Get Post By Slug,436,248,205,344,554,926,118,3727,0.000%,.90183,5.69,0.70
S02.10 Delete Post,436,75,49,117,180,561,34,1005,0.000%,.90207,0.45,0.75
Delete Post Controller,436,323,263,523,759,1154,155,3776,0.000%,.90174,6.14,1.45
S00.03.02 Get user data info,234,493,453,602,759,941,297,3752,0.000%,.48449,2.41,0.19
Get User Info Controller,234,1714,1418,1811,1959,4570,953,50584,0.427%,.48336,78.32,0.77
S08.01 Get chat group,234,80,59,118,175,518,36,721,0.427%,.48496,0.79,0.38
S08.02 Request single chat,234,112,96,180,218,373,46,611,0.000%,.48497,3.98,0.39
S08.03 Seen message in chat group,234,60,45,70,111,336,30,777,0.427%,.48499,0.68,0.42
S08.04 Send message to vuthanhnam94,234,95,75,144,203,509,47,582,0.000%,.48497,3.13,0.75
Inbox from testyopmail to vuthanhnam94,234,349,299,530,657,986,204,1051,0.427%,.48473,8.57,1.93
S00.04.01 Logout ,1,612,612,612,612,612,612,612,0.000%,1.63399,8.92,3.63
S00.04.02 User Signout,1,194,194,194,194,194,194,194,0.000%,5.15464,25.49,9.12
S00.04.03 Check Global Identity,1,135,135,135,135,135,135,135,0.000%,7.40741,29.96,6.61
S00.04.04 Get Random Post,1,90,90,90,90,90,90,90,0.000%,11.11111,97.91,3.80
S00.04 Logout,1,1031,1031,1031,1031,1031,1031,1031,0.000%,.94877,22.07,4.96
Logout Controller,1,1031,1031,1031,1031,1031,1031,1031,0.000%,.94877,22.07,4.96
TOTAL,25041,235,93,567,816,1406,22,50584,0.084%,51.24883,1036.71,47.35
