Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
S00.01.01 Check home page,1,1410,1410,1410,0.00,0.000%,.70922,319.22,0.81,460906.0
S00.01 Check home page,1,1410,1410,1410,0.00,0.000%,.70822,318.77,0.81,460906.0
S00.02.01 Check auth page,1,27,27,27,0.00,0.000%,37.03704,46.48,15.15,1285.0
S00.02 Check auth page,1,27,27,27,0.00,0.000%,35.71429,44.82,14.61,1285.0
S00.03.01 Login,436,1161,218,50111,2373.90,0.688%,.89691,139.95,1.08,159777.7
S00.03.02 Get Notification Number,1,47,47,47,0.00,0.000%,21.27660,4.72,15.96,227.0
S00.03.03 Get Number New Messages,1,29,29,29,0.00,0.000%,34.48276,7.44,26.17,221.0
S00.03.04 Get All Custom Domain List,1,27,27,27,0.00,0.000%,37.03704,8.14,29.48,225.0
S00.03.05 Get Category List,1,42,42,42,0.00,0.000%,23.80952,70.73,18.11,3042.0
S00.03 Login,1,1052,1052,1052,0.00,0.000%,.94877,167.84,4.05,181152.0
Login Controller,1,2489,2489,2489,0.00,0.000%,.40096,251.91,2.33,643343.0
S01.01 Search Post Ntech,1851,72,25,50026,1164.38,0.054%,3.82178,0.89,1.38,238.0
S02.01 Create Draft,437,57,24,2001,134.73,0.229%,.90165,4.52,0.73,5132.2
S02.02 Save Draft,436,54,30,1202,76.30,0.000%,.90147,4.77,0.95,5413.5
S04.01 Up Vote In Post,1500,102,39,2861,156.86,0.000%,9.67586,3.78,8.57,400.5
Up Vote Post Controller,1500,102,39,2861,156.86,0.000%,9.67580,3.78,8.57,400.5
S05.01 Down Vote In Post,1500,92,38,1748,107.32,0.000%,10.70587,4.19,9.48,400.5
Down Vote Post Controller,2433,255,38,3972,260.45,0.082%,5.02013,1.64,4.46,334.6
S01.02 Search Tag Ntech,1851,132,71,835,85.59,0.000%,3.82191,313.87,1.37,84095.0
S02.03 Create Post,436,98,46,783,78.87,0.000%,.90144,4.88,0.99,5546.5
S01.02 Search User Ntech,1851,53,27,5393,140.79,0.054%,3.82123,1.61,1.38,432.3
Search Controller,1851,259,129,50336,1185.57,0.108%,3.81909,316.14,4.12,84765.3
S02.04 Delete Draft,436,46,28,488,36.33,0.000%,.90153,4.62,0.80,5249.5
S06.01 Up Vote Comment Controller,924,523,292,3875,209.08,0.216%,1.90656,0.43,1.70,228.7
Up Vote Comment Controller,924,523,292,3875,209.08,0.216%,1.90656,0.43,1.70,228.7
S07.01 Down Vote In Comment,933,518,269,3972,215.40,0.214%,1.92511,0.43,1.71,228.8
S02.05 Get Post After Post,436,235,124,947,101.28,0.000%,.90096,5.68,0.70,6458.9
S02.06 Get Comment In Post,436,44,27,605,47.75,0.000%,.90183,0.24,0.70,275.0
S02.07 Get Emoji In Post,436,23,22,35,1.33,0.000%,.90187,2.79,0.30,3173.0
S02.08 Get Random Post,436,217,79,1142,141.52,0.000%,.90161,13.74,0.31,15605.9
Create Post Controller,436,779,422,2536,265.56,0.000%,.89995,41.17,5.48,46848.7
S09.01 Follow TopUser 40651,200,49,28,530,56.45,0.000%,.84088,3.00,0.71,3656.1
S00.00 Unfollow TopUser 40651,200,45,26,696,62.00,0.000%,.84088,2.92,0.71,3554.1
Login To Follow User,200,1192,531,3572,378.82,0.500%,.83665,135.98,2.42,166434.0
S02.09 Get Post By Slug,436,248,118,3727,222.05,0.000%,.90183,5.69,0.70,6462.1
S02.10 Delete Post,436,75,34,1005,96.87,0.000%,.90207,0.45,0.75,515.0
Delete Post Controller,436,323,155,3776,241.48,0.000%,.90174,6.14,1.45,6977.1
S00.03.02 Get user data info,234,493,297,3752,246.11,0.000%,.48449,2.41,0.19,5092.0
Get User Info Controller,234,1714,953,50584,3232.20,0.427%,.48336,78.32,0.77,165922.5
S08.01 Get chat group,234,80,36,721,78.77,0.427%,.48496,0.79,0.38,1665.1
S08.02 Request single chat,234,112,46,611,69.42,0.000%,.48497,3.98,0.39,8407.5
S08.03 Seen message in chat group,234,60,30,777,73.47,0.427%,.48499,0.68,0.42,1428.6
S08.04 Send message to vuthanhnam94,234,95,47,582,71.67,0.000%,.48497,3.13,0.75,6612.5
Inbox from testyopmail to vuthanhnam94,234,349,204,1051,152.46,0.427%,.48473,8.57,1.93,18113.7
S00.04.01 Logout ,1,612,612,612,0.00,0.000%,1.63399,8.92,3.63,5590.0
S00.04.02 User Signout,1,194,194,194,0.00,0.000%,5.15464,25.49,9.12,5063.0
S00.04.03 Check Global Identity,1,135,135,135,0.00,0.000%,7.40741,29.96,6.61,4141.0
S00.04.04 Get Random Post,1,90,90,90,0.00,0.000%,11.11111,97.91,3.80,9023.0
S00.04 Logout,1,1031,1031,1031,0.00,0.000%,.94877,22.07,4.96,23817.0
Logout Controller,1,1031,1031,1031,0.00,0.000%,.94877,22.07,4.96,23817.0
TOTAL,25041,235,22,50584,704.14,0.084%,51.24883,1036.71,47.35,20714.4
