Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
S08.04 Send message to anhnhan31,1,221,221,221,0.00,0.000%,4.52489,21.78,4.97,4928.0
Inbox from testyopmail to anhnhan31,1,430,430,430,0.00,0.000%,2.32558,27.23,8.26,11988.0
S08.04 Send message to Halephuongthao96,1,86,86,86,0.00,0.000%,11.62791,59.66,16.14,5254.0
Inbox from testyopmail to Halephuongthao96,1,424,424,424,0.00,0.000%,2.30415,28.76,8.87,12782.0
S08.04 Send message to 6septsg,1,469,469,469,0.00,0.000%,2.13220,10.99,2.98,5278.0
Inbox from testyopmail to 6septsg,1,791,791,791,0.00,0.000%,1.26422,15.85,4.87,12840.0
S08.04 Send message to whatevermn1997,1,89,89,89,0.00,0.000%,11.23596,57.49,15.57,5239.0
Inbox from testyopmail to whatevermn1997,1,381,381,381,0.00,0.000%,2.61780,32.52,10.06,12722.0
S08.04 Send message to Summer_melody,1,46,46,46,0.00,0.000%,21.73913,111.33,30.10,5244.0
Inbox from testyopmail to Summer_melody,1,223,223,223,0.00,0.000%,4.48430,55.97,17.23,12780.0
S08.04 Send message to longkhtc,1,86,86,86,0.00,0.000%,11.62791,59.93,16.27,5278.0
Inbox from testyopmail to longkhtc,1,327,327,327,0.00,0.000%,3.04878,38.26,11.75,12850.0
S08.04 Send message to ooanhkieu,1,93,93,93,0.00,0.000%,10.75269,55.54,15.10,5289.0
Inbox from testyopmail to ooanhkieu,1,263,263,263,0.00,0.000%,3.75940,47.36,14.51,12900.0
S08.04 Send message to P H A N,1,271,271,271,0.00,100.000%,3.69004,16.69,5.09,4631.0
Inbox from testyopmail to P H A N,1,418,418,418,0.00,100.000%,2.27273,26.98,6.84,12156.0
S08.04 Send message to tuantrece,1,64,64,64,0.00,0.000%,15.62500,80.63,21.88,5284.0
Inbox from testyopmail to tuantrece,1,385,385,385,0.00,0.000%,2.59740,32.79,10.01,12929.0
S08.04 Send message to janienguyen,1,62,62,62,0.00,0.000%,16.12903,77.75,17.75,4936.0
Inbox from testyopmail to janienguyen,1,230,230,230,0.00,0.000%,4.32900,51.44,15.40,12168.0
S08.04 Send message to ngoctranvt510,1,113,113,113,0.00,0.000%,8.84956,45.22,12.25,5233.0
Inbox from testyopmail to ngoctranvt510,1,709,709,709,0.00,0.000%,1.40845,17.60,5.41,12796.0
S08.04 Send message to Alittleying,1,101,101,101,0.00,0.000%,9.90099,50.60,13.69,5233.0
Inbox from testyopmail to Alittleying,1,619,619,619,0.00,0.000%,1.61031,20.03,6.18,12739.0
S08.04 Send message to tuanpa,1,87,87,87,0.00,0.000%,11.49425,58.75,15.94,5234.0
Inbox from testyopmail to tuanpa,1,262,262,262,0.00,0.000%,3.58423,44.52,13.76,12720.0
S08.04 Send message to namaman,1,63,63,63,0.00,0.000%,15.87302,80.82,21.89,5214.0
Inbox from testyopmail to namaman,1,414,414,414,0.00,0.000%,2.40385,29.88,9.21,12728.0
S08.04 Send message to Susu_VN,1,64,64,64,0.00,0.000%,15.62500,79.68,21.55,5222.0
Inbox from testyopmail to Susu_VN,1,585,585,585,0.00,0.000%,1.70648,21.20,6.54,12722.0
S08.04 Send message to ngophuonglinh0826,1,58,58,58,0.00,0.000%,17.24138,83.51,19.08,4960.0
Inbox from testyopmail to ngophuonglinh0826,1,195,195,195,0.00,0.000%,5.10204,60.16,18.21,12075.0
S08.04 Send message to alittlething_01,1,108,108,108,0.00,0.000%,9.25926,44.78,10.23,4952.0
Inbox from testyopmail to alittlething_01,1,279,279,279,0.00,0.000%,3.34448,39.42,11.92,12070.0
S08.04 Send message to hoanghatt89,1,47,47,47,0.00,0.000%,21.27660,108.88,29.44,5240.0
Inbox from testyopmail to hoanghatt89,1,215,215,215,0.00,0.000%,4.65116,57.64,17.86,12691.0
S08.04 Send message to thanhdo,1,77,77,77,0.00,0.000%,12.98701,66.23,17.93,5222.0
Inbox from testyopmail to thanhdo,1,269,269,269,0.00,0.000%,3.70370,45.92,14.20,12696.0
S08.04 Send message to normalguy,1,65,65,65,0.00,0.000%,15.38462,78.82,21.38,5246.0
Inbox from testyopmail to normalguy,1,304,304,304,0.00,0.000%,3.26797,40.56,12.56,12710.0
S08.04 Send message to maysaytoc124,1,46,46,46,0.00,0.000%,21.73913,111.24,30.08,5240.0
Inbox from testyopmail to maysaytoc124,1,276,276,276,0.00,0.000%,3.62319,44.89,13.92,12686.0
S00.04.01 Logout ,1,356,356,356,0.00,0.000%,2.80899,15.33,6.24,5590.0
S00.04.02 User Signout,1,221,221,221,0.00,0.000%,4.52489,22.38,8.01,5064.0
S00.04.03 Check Global Identity,1,137,137,137,0.00,0.000%,7.29927,29.52,6.52,4141.0
S00.04.04 Get Random Post,1,141,141,141,0.00,0.000%,7.09220,149.19,2.42,21540.0
S00.04 Logout,1,855,855,855,0.00,0.000%,1.16414,41.31,6.08,36335.0
Logout Controller,1,855,855,855,0.00,0.000%,1.16414,41.31,6.08,36335.0
TOTAL,5113,211,0,2665,298.91,0.372%,72.19712,1102.85,66.14,15642.1
